epoch,a,b
266,2.85639,4.01646
267,2.85808,4.01828
268,2.85975,4.02009
269,2.86142,4.02189
270,2.86309,4.02369
271,2.86475,4.02549
272,2.86641,4.02728
273,2.86806,4.02906
274,2.8697,4.03084
275,2.87135,4.03262
276,2.87298,4.03439
277,2.87461,4.03616
278,2.87624,4.03792
279,2.87786,4.03967
280,2.87947,4.04143
281,2.88108,4.04317
282,2.88269,4.04492
283,2.88429,4.04666
284,2.88589,4.04839
285,2.88748,4.05012
286,2.88907,4.05184
287,2.89065,4.05357
288,2.89223,4.05528
289,2.8938,4.05699
290,2.89537,4.0587
291,2.89693,4.0604
292,2.89849,4.0621
293,2.90005,4.0638
294,2.9016,4.06549
295,2.90314,4.06717
296,2.90468,4.06885
297,2.90622,4.07053
298,2.90775,4.0722
299,2.90928,4.07387
300,2.9108,4.07554
301,2.91232,4.0772
302,2.91384,4.07885
303,2.91535,4.08051
304,2.91685,4.08216
305,2.91836,4.0838
306,2.91985,4.08544
307,2.92135,4.08708
308,2.92284,4.08871
309,2.92432,4.09034
310,2.9258,4.09196
311,2.92728,4.09358
312,2.92875,4.0952
313,2.93022,4.09681
314,2.93169,4.09842
315,2.93315,4.10002
316,2.93461,4.10163
317,2.93606,4.10322
318,2.93751,4.10482
319,2.93896,4.10641
320,2.9404,4.10799
321,2.94184,4.10957
322,2.94327,4.11115
323,2.9447,4.11273
324,2.94613,4.1143
325,2.94755,4.11587
326,2.94897,4.11743
327,2.95038,4.11899
328,2.95179,4.12055
329,2.9532,4.1221
330,2.95461,4.12365
331,2.95601,4.1252
332,2.9574,4.12674
333,2.9588,4.12828
334,2.96019,4.12981
335,2.96157,4.13135
336,2.96295,4.13287
337,2.96433,4.1344
338,2.96571,4.13592
339,2.96708,4.13744
340,2.96845,4.13895
341,2.96981,4.14047
342,2.97118,4.14197
343,2.97253,4.14348
344,2.97389,4.14498
345,2.97524,4.14648
346,2.97659,4.14797
347,2.97793,4.14947
348,2.97927,4.15095
349,2.98061,4.15244
350,2.98195,4.15392
351,2.98328,4.1554
352,2.98461,4.15687
353,2.98593,4.15835
354,2.98725,4.15982
355,2.98857,4.16128
356,2.98989,4.16274
357,2.9912,4.1642
358,2.99251,4.16566
359,2.99381,4.16711
360,2.99511,4.16856
361,2.99641,4.17001
362,2.99771,4.17146
363,2.999,4.1729
364,3.00029,4.17433
365,3.00158,4.17577
366,3.00287,4.1772
367,3.00415,4.17863
368,3.00542,4.18006
369,3.0067,4.18148
370,3.00797,4.1829
371,3.00924,4.18432
372,3.01051,4.18573
373,3.01177,4.18714
374,3.01303,4.18855
375,3.01429,4.18996
376,3.01554,4.19136
377,3.01679,4.19276
378,3.01804,4.19416
379,3.01929,4.19555
380,3.02053,4.19694
381,3.02177,4.19833
382,3.02301,4.19971
383,3.02424,4.2011
384,3.02548,4.20248
385,3.0267,4.20385
386,3.02793,4.20523
387,3.02915,4.2066
388,3.03037,4.20797
389,3.03159,4.20934
390,3.03281,4.2107
391,3.03402,4.21206
392,3.03523,4.21342
393,3.03644,4.21477
394,3.03764,4.21613
395,3.03884,4.21748
396,3.04004,4.21882
397,3.04124,4.22017
398,3.04243,4.22151
399,3.04363,4.22285
400,3.04481,4.22419
401,3.046,4.22552
402,3.04718,4.22685
403,3.04837,4.22818
404,3.04954,4.22951
405,3.05072,4.23083
406,3.05189,4.23216
407,3.05306,4.23348
408,3.05423,4.23479
409,3.0554,4.23611
410,3.05656,4.23742
411,3.05772,4.23873
412,3.05888,4.24003
413,3.06004,4.24134
414,3.06119,4.24264
415,3.06234,4.24394
416,3.06349,4.24524
417,3.06464,4.24653
418,3.06578,4.24782
419,3.06693,4.24911
420,3.06806,4.2504
421,3.0692,4.25168
422,3.07034,4.25297
423,3.07147,4.25425
424,3.0726,4.25552
425,3.07373,4.2568
426,3.07485,4.25807
427,3.07597,4.25934
428,3.0771,4.26061
429,3.07821,4.26188
430,3.07933,4.26314
431,3.08044,4.2644
432,3.08156,4.26566
433,3.08267,4.26692
434,3.08377,4.26817
435,3.08488,4.26942
436,3.08598,4.27067
437,3.08708,4.27192
438,3.08818,4.27317
439,3.08928,4.27441
440,3.09037,4.27565
441,3.09146,4.27689
442,3.09255,4.27813
443,3.09364,4.27936
444,3.09472,4.28059
445,3.09581,4.28182
446,3.09689,4.28305
447,3.09797,4.28428
448,3.09904,4.2855
449,3.10012,4.28672
450,3.10119,4.28794
451,3.10226,4.28916
452,3.10333,4.29037
453,3.1044,4.29159
454,3.10546,4.2928
455,3.10652,4.29401
456,3.10758,4.29521
457,3.10864,4.29642
458,3.1097,4.29762
459,3.11075,4.29882
460,3.1118,4.30002
461,3.11285,4.30122
462,3.1139,4.30241
463,3.11495,4.3036
464,3.11599,4.30479
465,3.11704,4.30598
466,3.11808,4.30717
467,3.11911,4.30835
468,3.12015,4.30953
469,3.12119,4.31071
470,3.12222,4.31189
471,3.12325,4.31307
472,3.12428,4.31424
473,3.1253,4.31541
474,3.12633,4.31658
475,3.12735,4.31775
476,3.12837,4.31892
477,3.12939,4.32008
478,3.13041,4.32125
479,3.13142,4.32241
480,3.13244,4.32357
481,3.13345,4.32472
482,3.13446,4.32588
483,3.13547,4.32703
484,3.13647,4.32818
485,3.13748,4.32933
486,3.13848,4.33048
487,3.13948,4.33162
488,3.14048,4.33277
489,3.14148,4.33391
490,3.14247,4.33505
491,3.14347,4.33619
492,3.14446,4.33732
493,3.14545,4.33846
494,3.14644,4.33959
495,3.14742,4.34072
496,3.14841,4.34185
497,3.14939,4.34297
498,3.15037,4.3441
499,3.15135,4.34522
500,3.15233,4.34634
501,3.15331,4.34746
502,3.15428,4.34858
503,3.15525,4.3497
504,3.15622,4.35081
505,3.15719,4.35193
506,3.15816,4.35304
507,3.15913,4.35415
508,3.16009,4.35525
509,3.16105,4.35636
510,3.16201,4.35746
511,3.16297,4.35857
512,3.16393,4.35967
513,3.16489,4.36076
514,3.16584,4.36186
515,3.16679,4.36296
516,3.16775,4.36405
517,3.1687,4.36514
518,3.16964,4.36623
519,3.17059,4.36732
520,3.17153,4.36841
521,3.17248,4.36949
522,3.17342,4.37058
523,3.17436,4.37166
524,3.1753,4.37274
525,3.17623,4.37382
526,3.17717,4.3749
527,3.1781,4.37597
528,3.17903,4.37704
529,3.17996,4.37812
530,3.18089,4.37919
531,3.18182,4.38026
532,3.18275,4.38132
533,3.18367,4.38239
534,3.18459,4.38345
535,3.18551,4.38451
536,3.18643,4.38558
537,3.18735,4.38664
538,3.18827,4.38769
539,3.18918,4.38875
540,3.1901,4.3898
541,3.19101,4.39086
542,3.19192,4.39191
543,3.19283,4.39296
544,3.19374,4.39401
545,3.19464,4.39505
546,3.19555,4.3961
547,3.19645,4.39714
548,3.19735,4.39818
549,3.19825,4.39922
550,3.19915,4.40026
551,3.20005,4.4013
552,3.20094,4.40234
553,3.20184,4.40337
554,3.20273,4.4044
555,3.20362,4.40544
556,3.20451,4.40647
557,3.2054,4.40749
558,3.20629,4.40852
559,3.20718,4.40955
560,3.20806,4.41057
561,3.20894,4.41159
562,3.20983,4.41261
563,3.21071,4.41363
564,3.21158,4.41465
565,3.21246,4.41567
566,3.21334,4.41668
567,3.21421,4.4177
568,3.21509,4.41871
569,3.21596,4.41972
570,3.21683,4.42073
571,3.2177,4.42174
572,3.21857,4.42274
573,3.21943,4.42375
574,3.2203,4.42475
575,3.22116,4.42576
576,3.22203,4.42676
577,3.22289,4.42776
578,3.22375,4.42875
579,3.22461,4.42975
580,3.22547,4.43075
581,3.22632,4.43174
582,3.22718,4.43273
583,3.22803,4.43372
584,3.22888,4.43471
585,3.22973,4.4357
586,3.23058,4.43669
587,3.23143,4.43768
588,3.23228,4.43866
589,3.23312,4.43964
590,3.23397,4.44062
591,3.23481,4.4416
592,3.23565,4.44258
593,3.23649,4.44356
594,3.23733,4.44454
595,3.23817,4.44551
596,3.23901,4.44649
597,3.23985,4.44746
598,3.24068,4.44843
599,3.24151,4.4494
600,3.24235,4.45037
601,3.24318,4.45133
602,3.24401,4.4523
603,3.24483,4.45326
604,3.24566,4.45423
605,3.24649,4.45519
606,3.24731,4.45615
607,3.24813,4.45711
608,3.24896,4.45807
609,3.24978,4.45902
610,3.2506,4.45998
611,3.25142,4.46093
612,3.25223,4.46188
613,3.25305,4.46284
614,3.25387,4.46379
615,3.25468,4.46474
616,3.25549,4.46568
617,3.2563,4.46663
618,3.25711,4.46757
619,3.25792,4.46852
620,3.25873,4.46946
621,3.25954,4.4704
622,3.26034,4.47134
623,3.26115,4.47228
624,3.26195,4.47322
625,3.26275,4.47416
626,3.26356,4.47509
627,3.26436,4.47603
628,3.26516,4.47696
629,3.26595,4.47789
630,3.26675,4.47882
631,3.26754,4.47975
632,3.26834,4.48068
633,3.26913,4.48161
634,3.26992,4.48253
635,3.27072,4.48346
636,3.27151,4.48438
637,3.27229,4.4853
638,3.27308,4.48622
639,3.27387,4.48714
640,3.27465,4.48806
641,3.27544,4.48898
642,3.27622,4.48989
643,3.277,4.49081
644,3.27779,4.49172
645,3.27857,4.49264
646,3.27934,4.49355
647,3.28012,4.49446
648,3.2809,4.49537
649,3.28168,4.49628
650,3.28245,4.49718
651,3.28322,4.49809
652,3.284,4.49899
653,3.28477,4.4999
654,3.28554,4.5008
655,3.28631,4.5017
656,3.28708,4.5026
657,3.28784,4.5035
658,3.28861,4.5044
659,3.28937,4.50529
660,3.29014,4.50619
661,3.2909,4.50708
662,3.29166,4.50798
663,3.29243,4.50887
664,3.29319,4.50976
665,3.29394,4.51065
666,3.2947,4.51154
667,3.29546,4.51243
668,3.29622,4.51331
669,3.29697,4.5142
670,3.29772,4.51509
671,3.29848,4.51597
672,3.29923,4.51685
673,3.29998,4.51773
674,3.30073,4.51861
675,3.30148,4.51949
676,3.30223,4.52037
677,3.30297,4.52125
678,3.30372,4.52212
679,3.30447,4.523
680,3.30521,4.52387
681,3.30595,4.52475
682,3.3067,4.52562
683,3.30744,4.52649
684,3.30818,4.52736
685,3.30892,4.52823
686,3.30965,4.52909
687,3.31039,4.52996
688,3.31113,4.53083
689,3.31186,4.53169
690,3.3126,4.53255
691,3.31333,4.53342
692,3.31406,4.53428
693,3.31479,4.53514
694,3.31553,4.536
695,3.31625,4.53686
696,3.31698,4.53771
697,3.31771,4.53857
698,3.31844,4.53942
699,3.31916,4.54028
700,3.31989,4.54113
701,3.32061,4.54198
702,3.32134,4.54284
703,3.32206,4.54369
704,3.32278,4.54453
705,3.3235,4.54538
706,3.32422,4.54623
707,3.32494,4.54708
708,3.32566,4.54792
709,3.32637,4.54877
710,3.32709,4.54961
711,3.3278,4.55045
712,3.32852,4.55129
713,3.32923,4.55213
714,3.32994,4.55297
715,3.33065,4.55381
716,3.33136,4.55465
717,3.33207,4.55548
718,3.33278,4.55632
719,3.33349,4.55715
720,3.3342,4.55799
721,3.3349,4.55882
722,3.33561,4.55965
723,3.33631,4.56048
724,3.33702,4.56131
725,3.33772,4.56214
726,3.33842,4.56297
727,3.33912,4.5638
728,3.33982,4.56462
729,3.34052,4.56545
730,3.34122,4.56627
731,3.34191,4.56709
732,3.34261,4.56792
733,3.34331,4.56874
734,3.344,4.56956
735,3.3447,4.57038
736,3.34539,4.5712
737,3.34608,4.57201
738,3.34677,4.57283
739,3.34746,4.57365
740,3.34815,4.57446
741,3.34884,4.57527
742,3.34953,4.57609
743,3.35022,4.5769
744,3.3509,4.57771
745,3.35159,4.57852
746,3.35227,4.57933
747,3.35296,4.58014
748,3.35364,4.58095
749,3.35432,4.58175
750,3.355,4.58256
751,3.35568,4.58336
752,3.35636,4.58417
753,3.35704,4.58497
754,3.35772,4.58577
755,3.3584,4.58657
756,3.35907,4.58738
757,3.35975,4.58817
758,3.36043,4.58897
759,3.3611,4.58977
760,3.36177,4.59057
761,3.36245,4.59136
762,3.36312,4.59216
763,3.36379,4.59295
764,3.36446,4.59375
765,3.36513,4.59454
766,3.3658,4.59533
767,3.36646,4.59612
768,3.36713,4.59691
769,3.3678,4.5977
770,3.36846,4.59849
771,3.36913,4.59928
772,3.36979,4.60006
773,3.37045,4.60085
774,3.37112,4.60163
775,3.37178,4.60242
776,3.37244,4.6032
777,3.3731,4.60398
778,3.37376,4.60477
779,3.37442,4.60555
780,3.37507,4.60633
781,3.37573,4.6071
782,3.37639,4.60788
783,3.37704,4.60866
784,3.3777,4.60944
785,3.37835,4.61021
786,3.379,4.61099
787,3.37966,4.61176
788,3.38031,4.61253
789,3.38096,4.61331
790,3.38161,4.61408
791,3.38226,4.61485
792,3.38291,4.61562
793,3.38356,4.61639
794,3.3842,4.61716
795,3.38485,4.61792
796,3.3855,4.61869
797,3.38614,4.61946
798,3.38678,4.62022
799,3.38743,4.62099
800,3.38807,4.62175
801,3.38871,4.62251
802,3.38935,4.62327
803,3.39,4.62403
804,3.39064,4.6248
805,3.39127,4.62555
806,3.39191,4.62631
807,3.39255,4.62707
808,3.39319,4.62783
809,3.39382,4.62858
810,3.39446,4.62934
811,3.3951,4.6301
812,3.39573,4.63085
813,3.39636,4.6316
814,3.397,4.63235
815,3.39763,4.63311
816,3.39826,4.63386
817,3.39889,4.63461
818,3.39952,4.63536
819,3.40015,4.63611
820,3.40078,4.63685
821,3.40141,4.6376
822,3.40203,4.63835
823,3.40266,4.63909
824,3.40329,4.63984
825,3.40391,4.64058
826,3.40454,4.64132
827,3.40516,4.64207
828,3.40578,4.64281
829,3.40641,4.64355
830,3.40703,4.64429
831,3.40765,4.64503
832,3.40827,4.64577
833,3.40889,4.64651
834,3.40951,4.64724
835,3.41013,4.64798
836,3.41074,4.64872
837,3.41136,4.64945
838,3.41198,4.65018
839,3.41259,4.65092
840,3.41321,4.65165
841,3.41382,4.65238
842,3.41444,4.65311
843,3.41505,4.65385
844,3.41566,4.65458
845,3.41627,4.6553
846,3.41689,4.65603
847,3.4175,4.65676
848,3.41811,4.65749
849,3.41872,4.65821
850,3.41932,4.65894
851,3.41993,4.65966
852,3.42054,4.66039
853,3.42115,4.66111
854,3.42175,4.66183
855,3.42236,4.66256
856,3.42296,4.66328
857,3.42357,4.664
858,3.42417,4.66472
859,3.42477,4.66544
860,3.42537,4.66616
861,3.42598,4.66687
862,3.42658,4.66759
863,3.42718,4.66831
864,3.42778,4.66902
865,3.42838,4.66974
866,3.42897,4.67045
867,3.42957,4.67117
868,3.43017,4.67188
869,3.43076,4.67259
870,3.43136,4.6733
871,3.43196,4.67401
872,3.43255,4.67472
873,3.43314,4.67543
874,3.43374,4.67614
875,3.43433,4.67685
876,3.43492,4.67756
877,3.43551,4.67826
878,3.43611,4.67897
879,3.4367,4.67967
880,3.43729,4.68038
881,3.43787,4.68108
882,3.43846,4.68179
