epoch,m,b
265,1.51995,0.472702
266,1.52029,0.472657
267,1.52062,0.47261
268,1.52095,0.472562
269,1.52127,0.472512
270,1.52159,0.472461
271,1.52191,0.472408
272,1.52222,0.472353
273,1.52252,0.472298
274,1.52282,0.47224
275,1.52312,0.472182
276,1.52341,0.472122
277,1.5237,0.472061
278,1.52398,0.471998
279,1.52426,0.471934
280,1.52454,0.471869
281,1.52481,0.471802
282,1.52508,0.471735
283,1.52535,0.471666
284,1.52561,0.471596
285,1.52587,0.471525
286,1.52612,0.471452
287,1.52637,0.471379
288,1.52662,0.471304
289,1.52686,0.471228
290,1.5271,0.471152
291,1.52734,0.471074
292,1.52758,0.470995
293,1.52781,0.470915
294,1.52804,0.470834
295,1.52826,0.470752
296,1.52848,0.47067
297,1.5287,0.470586
298,1.52892,0.470501
299,1.52913,0.470416
300,1.52934,0.470329
301,1.52955,0.470242
302,1.52976,0.470153
303,1.52996,0.470064
304,1.53016,0.469974
305,1.53036,0.469884
306,1.53055,0.469792
307,1.53075,0.4697
308,1.53094,0.469607
309,1.53112,0.469513
310,1.53131,0.469418
311,1.53149,0.469323
312,1.53167,0.469227
313,1.53185,0.46913
314,1.53203,0.469032
315,1.5322,0.468934
316,1.53238,0.468835
317,1.53255,0.468736
318,1.53271,0.468635
319,1.53288,0.468535
320,1.53304,0.468433
321,1.53321,0.468331
322,1.53337,0.468228
323,1.53353,0.468125
324,1.53368,0.468021
325,1.53384,0.467917
326,1.53399,0.467812
327,1.53414,0.467706
328,1.53429,0.4676
329,1.53444,0.467493
330,1.53458,0.467386
331,1.53473,0.467278
332,1.53487,0.46717
333,1.53501,0.467062
334,1.53515,0.466952
335,1.53529,0.466843
336,1.53543,0.466733
337,1.53556,0.466622
338,1.53569,0.466511
339,1.53583,0.466399
340,1.53596,0.466287
341,1.53609,0.466175
342,1.53621,0.466062
343,1.53634,0.465949
344,1.53647,0.465836
345,1.53659,0.465722
346,1.53671,0.465607
347,1.53683,0.465492
348,1.53695,0.465377
349,1.53707,0.465262
350,1.53719,0.465146
351,1.53731,0.46503
352,1.53742,0.464913
353,1.53754,0.464796
354,1.53765,0.464679
355,1.53776,0.464561
356,1.53787,0.464443
357,1.53798,0.464325
358,1.53809,0.464206
359,1.5382,0.464088
360,1.5383,0.463968
361,1.53841,0.463849
362,1.53851,0.463729
363,1.53862,0.463609
364,1.53872,0.463489
365,1.53882,0.463368
366,1.53892,0.463248
367,1.53902,0.463126
368,1.53912,0.463005
369,1.53922,0.462883
370,1.53932,0.462762
371,1.53941,0.462639
372,1.53951,0.462517
373,1.5396,0.462395
374,1.5397,0.462272
375,1.53979,0.462149
376,1.53988,0.462025
377,1.53998,0.461902
378,1.54007,0.461778
379,1.54016,0.461654
380,1.54025,0.46153
381,1.54033,0.461406
382,1.54042,0.461282
383,1.54051,0.461157
384,1.5406,0.461032
385,1.54068,0.460907
386,1.54077,0.460782
387,1.54085,0.460656
388,1.54094,0.460531
389,1.54102,0.460405
390,1.5411,0.460279
391,1.54118,0.460153
392,1.54127,0.460027
393,1.54135,0.4599
394,1.54143,0.459774
395,1.54151,0.459647
396,1.54159,0.45952
397,1.54166,0.459393
398,1.54174,0.459266
399,1.54182,0.459139
400,1.5419,0.459012
401,1.54197,0.458884
402,1.54205,0.458757
403,1.54212,0.458629
404,1.5422,0.458501
405,1.54227,0.458373
406,1.54235,0.458245
407,1.54242,0.458117
408,1.54249,0.457988
409,1.54257,0.45786
410,1.54264,0.457731
411,1.54271,0.457603
412,1.54278,0.457474
413,1.54285,0.457345
414,1.54292,0.457216
415,1.54299,0.457087
416,1.54306,0.456958
417,1.54313,0.456829
418,1.5432,0.456699
419,1.54327,0.45657
420,1.54334,0.45644
421,1.54341,0.456311
422,1.54347,0.456181
423,1.54354,0.456051
424,1.54361,0.455922
425,1.54367,0.455792
426,1.54374,0.455662
427,1.5438,0.455532
428,1.54387,0.455402
429,1.54394,0.455272
430,1.544,0.455141
431,1.54406,0.455011
432,1.54413,0.454881
433,1.54419,0.45475
434,1.54426,0.45462
435,1.54432,0.454489
436,1.54438,0.454359
437,1.54444,0.454228
438,1.54451,0.454097
439,1.54457,0.453967
440,1.54463,0.453836
441,1.54469,0.453705
442,1.54475,0.453574
443,1.54481,0.453443
444,1.54487,0.453312
445,1.54493,0.453181
446,1.54499,0.45305
447,1.54505,0.452919
448,1.54511,0.452788
449,1.54517,0.452657
450,1.54523,0.452526
451,1.54529,0.452395
452,1.54535,0.452263
453,1.54541,0.452132
454,1.54547,0.452001
455,1.54552,0.45187
456,1.54558,0.451738
457,1.54564,0.451607
458,1.5457,0.451475
459,1.54575,0.451344
460,1.54581,0.451213
461,1.54587,0.451081
462,1.54592,0.45095
463,1.54598,0.450818
464,1.54604,0.450686
465,1.54609,0.450555
466,1.54615,0.450423
467,1.5462,0.450292
468,1.54626,0.45016
469,1.54631,0.450029
470,1.54637,0.449897
471,1.54642,0.449765
472,1.54648,0.449634
473,1.54653,0.449502
